,decibel
1006,-83.8273892206351
1007,-96.42090557731038
1008,-88.4957881052047
1009,-95.33359394926322
1010,-83.3991717927713
1011,-81.77326591407424
1012,-78.00073576825575
1013,-86.59189686818358
1014,-76.2074626414807
1015,-74.14611822185773
1016,-79.43016412538972
1017,-76.6449512390938
1018,-75.85321020529935
1019,-89.83536127652874
1020,-85.99180751072696
1021,-98.0053252326818
1022,-79.99766180031644
1023,-84.16134967716457
1024,-86.30897525947293
1025,-91.26270093816659
1026,-92.00896933199559
1027,-74.54690619067098
1028,-80.5594041725473
1029,-83.21172281008843
1030,-81.21496595263162
1031,-78.53887264756278
1032,-85.81318227008582
1033,-75.30525105723564
1034,-79.85646954344935
1035,-94.40350248327492
1036,-79.07923492523423
1037,-75.34439632250204
1038,-86.9792818573437
1039,-103.77090215538706
1040,-86.03636616416486
1041,-91.80671867909771
1042,-92.78724385895634
1043,-96.93259868247208
1044,-92.1685063318393
1045,-98.30057363512047
1046,-87.68409849331945
1047,-80.21754823947715
1048,-108.80519597139167
1049,-107.26523416645186
1050,-91.50485399227925
1051,-81.11307717483334
1052,-92.77956929463328
1053,-90.88535658942932
1054,-86.34981111209518
1055,-76.16933268913431
1056,-79.99569736636158
1057,-87.68183825150986
1058,-80.49213245306511
1059,-92.94097127712632
1060,-86.76040281850416
1061,-85.86394075388499
1062,-81.97802226067526
1063,-98.25715463669196
1064,-92.32985057871352
1065,-85.55446985045796
1066,-81.98181049860324
1067,-82.21189221736634
1068,-94.06414786812243
1069,-83.746825582297
1070,-90.70055165047683
1071,-81.22418035142178
1072,-92.85595354468428
1073,-90.29438232801611
1074,-95.35213009410306
1075,-78.42511117105563
1076,-97.40778588777623
1077,-78.07693277922466
1078,-77.446515912242
1079,-89.8348640935653
1080,-93.05851294772717
1081,-79.51516218562664
1082,-80.19904195034952
1083,-91.17013585253522
1084,-89.1775496880812
1085,-87.15463037358818
1086,-97.12012312562479
1087,-79.62838284033195
1088,-92.17752046672382
1089,-83.51998202203704
1090,-89.13693023429899
1091,-105.00394668004331
1092,-77.62555014789213
1093,-99.69200932554494
1094,-80.54353424800306
1095,-74.9908776820418
1096,-82.94935535115687
1097,-95.76891109152349
1098,-83.93682533053757
1099,-83.77979938269772
1100,-90.3065712077547
1101,-82.56203665998063
1102,-82.53559454110115
1103,-79.99608160548635
1104,-83.21792175674254
1105,-75.910595067911
1106,-92.14597736337228
1107,-77.56599201711778
1108,-77.531457970079
1109,-71.28084479912806
1110,-74.24946997663822
1111,-83.8553295912994
1112,-87.45402352607843
1113,-78.4659553294049
1114,-83.48709585597398
1115,-87.70756690378393
1116,-73.91828169497543
1117,-75.31389999114145
1118,-87.31539397863352
1119,-89.28601071426829
1120,-83.46206091238132
1121,-76.07279531919086
1122,-72.69144310002412
1123,-78.75336919901557
1124,-76.67477687601126
1125,-73.78766643192995
1126,-79.64530332204288
1127,-81.25345280474713
1128,-96.16422654449252
1129,-97.96415452921653
1130,-93.96698424262033
1131,-85.30760885769328
1132,-84.89462992854583
1133,-76.4476440800222
1134,-84.52696109391292
1135,-79.55611372366756
1136,-86.72192832572593
1137,-77.49043625004927
1138,-74.72788311229073
1139,-81.79739316641943
1140,-74.76078784096651
1141,-91.8548646478481
1142,-95.43826705338107
1143,-76.01302050603734
1144,-79.05541669217098
1145,-79.85673827462335
1146,-81.52265872569075
1147,-86.0557296344125
1148,-99.12804634428039
1149,-80.43739400133478
1150,-80.58301336301214
1151,-74.4958041333662
1152,-83.24363556095535
1153,-77.47873004659664
1154,-68.77735332377132
1155,-81.47011903740939
1156,-67.97986767422093
1157,-80.77541134778687
1158,-97.44065990508027
1159,-81.17197871855039
1160,-82.9901111652871
1161,-86.15208800885499
1162,-82.04016976275591
1163,-79.0911263828332
1164,-90.38829606288638
1165,-89.11159036591515
1166,-90.3392470975347
1167,-75.46081937004766
1168,-78.52658528389648
1169,-75.63696907543888
1170,-75.15533648759046
1171,-79.50943424335219
1172,-86.57377536106466
1173,-81.69494389728939
1174,-86.82123368602056
1175,-84.59409488471971
1176,-76.66114166319169
1177,-101.12013739649726
1178,-89.65402928805344
1179,-101.63078220436208
1180,-79.3245968025359
1181,-74.11993336386101
1182,-84.20242748610687
1183,-75.14407372082324
1184,-88.29818775122875
1185,-87.18188261996589
1186,-82.70817703662638
1187,-86.05657390515177
1188,-84.97723216977505
1189,-81.1992787319589
1190,-76.29130361372971
1191,-79.55682011672705
1192,-79.3013444715668
1193,-95.59286213915067
1194,-90.19265243944574
1195,-78.86826032026644
1196,-72.08660417353543
1197,-93.56852020123115
1198,-80.50753400889047
1199,-99.9317556289371
1200,-82.4506317389905
1201,-93.84310934634071
1202,-81.28674824989126
1203,-79.28508569591995
1204,-83.44154964426548
1205,-93.83360434078028
1206,-80.13202010460411
1207,-80.73037030656586
1208,-86.17530859860386
1209,-85.78451110761081
1210,-86.01493987116713
1211,-87.01555355699514
1212,-68.1706752736096
